hanzi	traduccion_ming
这不是饺子，是包子。	Esto no es jiaozi, es baozi.
那是饺子。	Eso es jiaozi.
我姓林，叫林娜。你呢？	Mi apellido es Lin y me llamo Lin Na. ¿Y tú?
我叫宋华。认识你很高兴。	Me llamo Song Hua. Me alegra conocerte.
我叫马大为，我是美国人。你也是美国人吗？	Me llamo Ma Dawei y soy estadounidense. ¿Tú también eres estadounidense?
我不是美国人，我是英国人。	No soy estadounidense, soy británico.
请问，你是中国人吗？	Disculpa, ¿eres chino?
我不是中国人，我是加拿大人。	No soy chino, soy canadiense.
他们呢？	¿Y ellos?
他们也不是中国人，他们都是韩国人。	Ellos tampoco son chinos; todos son surcoreanos.
这张照片是谁？是你哥哥吗？真帅！	¿Quién aparece en esta foto? ¿Es tu hermano mayor? ¡Qué guapo!
是我男朋友。	Es mi novio.
你太太做什么工作？	¿En qué trabaja tu esposa?
她是律师。你女朋友呢？	Ella es abogada. ¿Y tu novia?
她和我都是汉语老师。	Ella y yo somos profesores de chino.
他们有几个孩子？	¿Cuántos hijos tienen?
他们有两个孩子，都很漂亮。	Tienen dos hijos y ambos son muy bonitos.
这个孩子今年几岁？	¿Cuántos años tiene este niño este año?
他今年七岁。	Él tiene siete años este año.
您要什么？	¿Qué desea?
我要两个包子，一杯牛奶。	Quiero dos baozi y una taza de leche.
王小云家有四口人。	En la familia de Wang Xiaoyun son cuatro personas.
她爸爸是医生，妈妈是老师。	Su papá es médico y su mamá es profesora.
她还有一个哥哥。	Ella también tiene un hermano mayor.
这是他们家的照片。	Esta es una foto de su familia.
林娜家一共有五口人，妈妈、一个哥哥、两个姐姐和她，还有贝贝。	En la familia de Lin Na son cinco en total: su mamá, un hermano mayor, dos hermanas mayores y ella, y también Beibei.
贝贝是她的小狗。	Beibei es su perrito.
陆雨平家有三口人。	En la familia de Lu Yuping son tres personas.
他有一个女儿，今年五岁。	Él tiene una hija; este año ella tiene cinco años.
他女儿很忙，今天有钢琴课，还有英语课。	Su hija está muy ocupada; hoy tiene clase de piano y también de inglés.
贝贝是林娜家的人吗？	¿Beibei es un miembro de la familia de Lin Na?
陆雨平的女儿怎么样？	¿Cómo está la hija de Lu Yuping?
约翰今年几岁？	¿Cuántos años tiene John este año?
马大为有几个中国朋友？他们都是谁？	¿Cuántos amigos chinos tiene Ma Dawei? ¿Quiénes son todos ellos?
大为也很好。	Dawei también está muy bien.
我不忙。	No estoy ocupado.
我好。	Estoy bien.
我忙。	Estoy ocupado.
你很好吗？	¿Estás muy bien?
他很好。	Él está muy bien.
他也姓宋。	Su apellido también es Song.
也我很好。	También yo estoy muy bien.
我很好也。	Yo estoy muy bien también.
我也。	Yo también.
他也不姓宋。	Su apellido tampoco es Song.
力波也不忙。	Libo tampoco está ocupado.
北京人喜欢吃面条儿和饺子。	A las personas de Pekín les gusta comer fideos y jiaozi.
我爸爸和我妈妈也都很忙。	Mi papá y mi mamá también están ambos muy ocupados.
丁力波和马大为都很好。	Tanto Ding Libo como Ma Dawei están muy bien.
我和林娜都不太忙。	Ni Lin Na ni yo estamos muy ocupados.
你爸爸和你妈妈都是北京人吗？	¿Tu papá y tu mamá son ambos de Pekín?
王小云和宋华也都不喜欢吃面条儿。	Ni a Wang Xiaoyun ni a Song Hua les gusta comer fideos tampoco.
都包子和饺子很好吃。	Tanto los baozi como los jiaozi están muy ricos.
这是谁的咖啡？	¿De quién es este café?
这是我的咖啡。	Este es mi café.
你有贝贝的照片吗？	¿Tienes una foto de Beibei?
我没有贝贝的照片。	No tengo una foto de Beibei.
谁是医生？	¿Quién es médico?
我妈妈是医生。	Mi mamá es médica.
他们有一个孩子。	Ellos tienen un hijo.
我有六张照片。	Tengo seis fotos.
这张照片怎么样？	¿Qué te parece esta foto?
这张照片很漂亮。	Esta foto es muy bonita.
你有哥哥吗？	¿Tienes un hermano mayor?
我有一个哥哥，还有两个弟弟。	Tengo un hermano mayor y también dos hermanos menores.
你认识谁？	¿A quién conoces?
我认识马大为，还认识林娜。	Conozco a Ma Dawei y también a Lin Na.
今天你有课吗？	¿Tienes clase hoy?
今天我有汉语课，还有英语课。	Hoy tengo clase de chino y también de inglés.
他们叫什么名字？	¿Cómo se llaman ellos?
他们怎么样？	¿Cómo están ellos?
您早！	¡Buenos días!; saludo respetuoso.
我姓丁，叫丁力波。	Mi apellido es Ding y me llamo Ding Libo.
这是我同学，你们认识吗？	Este es mi compañero de clase. ¿Ustedes se conocen?
你好！我叫林娜。请问，你是哪国人？	¡Hola! Me llamo Lin Na. Disculpa, ¿de qué país eres?
宋华是哪国人？	¿De qué país es Song Hua?
宋华喜欢吃什么？	¿Qué le gusta comer a Song Hua?
林娜喜欢吃饺子吗？	¿A Lin Na le gusta comer jiaozi?
陈老师是北京人吗？	¿El docente Chen es de Pekín?
陈老师喜欢吃什么？	¿Qué le gusta comer al docente Chen?
