hanzi	traduccion_ming
好，我要饺子，也要包子。	Bien, quiero jiaozi y también baozi.
你们家有几口人？	¿Cuántas personas hay en tu familia?
我们家有四口人。你看，这是我们家的照片。	En nuestra familia somos cuatro. Mira, esta es una foto de nuestra familia.
你爸爸妈妈做什么工作？	¿En qué trabajan tu papá y tu mamá?
我爸爸是医生，妈妈是老师。	Mi papá es médico y mi mamá es profesora.
这是你弟弟吗？	¿Este es tu hermano menor?
这不是我弟弟。这是我哥哥。林娜，你们家有几口人？	Este no es mi hermano menor. Este es mi hermano mayor. Lin Na, ¿cuántas personas hay en tu familia?
我们家一共有六口人：妈妈、一个哥哥、两个姐姐和我，还有贝贝。	En nuestra familia somos seis en total: mamá, un hermano mayor, dos hermanas mayores y yo, y también Beibei.
贝贝是谁？是你妹妹吗？	¿Quién es Beibei? ¿Es tu hermana menor?
我没有妹妹，贝贝是我的小狗。	No tengo hermana menor; Beibei es mi perrito.
小狗也是一口人吗？	¿El perrito también cuenta como un miembro de la familia?
你们好！请进！	¡Hola a todos! ¡Pasen, por favor!
您好！你们家真漂亮！	¡Hola! ¡Qué bonita es su casa!
谢谢。请坐。你们喝什么？我们家有茶和咖啡。	Gracias. Siéntense, por favor. ¿Qué van a tomar? En casa tenemos té y café.
我喝咖啡。	Yo tomo café.
我要茶。	Quiero té.
这张照片真漂亮！这是你女儿吗？	¡Esta foto es realmente bonita! ¿Esta es tu hija?
是。这是我女儿。	Sí. Esta es mi hija.
你女儿今年几岁？	¿Cuántos años tiene tu hija este año?
五岁。今天她有钢琴课，不在家。	Cinco años. Hoy tiene clase de piano; no está en casa.
中国的孩子真忙！	¡Los niños de China están realmente ocupados!
是啊。晚上她还有英语课。	Sí, así es. Por la noche también tiene clase de inglés.
您好！您贵姓？	¡Hola! ¿Cuál es su apellido?
我妈妈是北京人，她喜欢吃面条和饺子。	Mi mamá es de Pekín; le gusta comer fideos y jiaozi.
好，我要包子，也要饺子。	Bien, quiero baozi y también jiaozi.
这不是我弟弟。这是我哥哥。	Este no es mi hermano menor. Este es mi hermano mayor.
林娜，你们家有几口人？	Lin Na, ¿cuántas personas hay en tu familia?
我们有作业。	Tenemos tarea.
我们没有作业！	¡No tenemos tarea!
我累死了。	Estoy muerto de cansancio.
您好！	¡Hola!; saludo respetuoso.
她很困。	Ella tiene mucho sueño.
她很渴。	Ella tiene mucha sed.
她很饿。	Ella tiene mucha hambre.
他很累。	Él está muy cansado.
他不很忙。	Él no está muy ocupado.
她困吗？	¿Ella tiene sueño?
我很忙。	Estoy muy ocupado.
你最近好吗？	¿Has estado bien últimamente?
你们最近忙吗？	¿Han estado ocupados últimamente?
你最近怎么样？	¿Cómo has estado últimamente?
你们怎么样？	¿Cómo están ustedes?
我是Elsa。	Soy Elsa.
我叫Elsa。	Me llamo Elsa.
你叫什么名字？	¿Cómo te llamas?
她姓陆。	Su apellido es Lu.
我问你。	Te pregunto a ti.
请问，您贵姓？	Disculpe, ¿cuál es su apellido?
我们认识他。	Lo conocemos.
我不认识你。	No te conozco.
他高兴吗？	¿Él está contento?
他很高兴。	Él está muy contento.
他不高兴。	Él no está contento.
我很高兴认识你。	Me alegra mucho conocerte.
她也很累。	Ella también está muy cansada.
他也不困。	Él tampoco tiene sueño.
我也是！	¡Yo también!
很高兴认识你！	¡Me alegra conocerte!
我在大学。	Estoy en la universidad.
老师在这儿吗？	¿Está aquí el profesor?
他不在。	Él no está.
我们太忙了。	Estamos demasiado ocupados.
王老师太好了！	¡El profesor Wang es buenísimo!
他太困了。	Él tiene muchísimo sueño.
我叫Ana，你呢？	Me llamo Ana, ¿y tú?
我不忙，你们呢？	No estoy ocupado, ¿y ustedes?
你最近忙吗？	¿Has estado ocupado últimamente?
你好吗？	¿Cómo estás?
还行。	No está mal.
马马虎虎。	Más o menos.
我叫马大为。	Me llamo Ma Dawei.
你叫马大为吗？	¿Te llamas Ma Dawei?
他是Juan。	Él es Juan.
他是Juan吗？	¿Él es Juan?
林娜在。	Lin Na está.
林娜在吗？	¿Está Lin Na?
他也姓马。	Su apellido también es Ma.
我也不忙。	Yo tampoco estoy ocupado.
林娜也很高兴。	Lin Na también está muy contenta.
我早上刚到北京。	Acabo de llegar a Pekín esta mañana.
老师好！	¡Hola, profe!
你不是老师。	Tú no eres profesor.
他也是老师。	Él también es profesor.
你是老师吗？	¿Eres profesor?
我不是老师，我是学生。	No soy profesor, soy estudiante.
那是我老师。	Ese es mi profesor.
那是你朋友吗？	¿Ese es tu amigo?
你好，你是哪国人？	Hola, ¿de qué país eres?
我是秘鲁人。	Soy peruano.
他是哪国人？	¿De qué país es él?
他是秘鲁人。	Él es peruano.
你朋友是哪国人？	¿De qué país es tu amigo?
我朋友是中国人。	Mi amigo es chino.
我也很好。你是哪国人？	Yo también estoy muy bien. ¿De qué país eres?
我是秘鲁人。你呢？	Soy peruano. ¿Y tú?
我是中国人。再见。	Soy chino. Adiós.
我学习汉语。你呢？	Estudio chino. ¿Y tú?
我学习英语。	Estudio inglés.
你们学习中文。	Ustedes estudian chino.
我学习西班牙语。	Estudio español.
我弟弟学习意大利语。	Mi hermano menor estudia italiano.
他学什么？	¿Qué aprende él?
他学做饭。	Él aprende a cocinar.
她学什么？	¿Qué aprende ella?
她学画画。	Ella aprende a dibujar.
我是中国人。你会说什么语言？	Soy chino. ¿Qué idiomas sabes hablar?
我会西班牙语和英语。	Sé hablar español e inglés.
我会汉语和一点儿西班牙语。	Sé hablar chino y un poco de español.
真厉害！	¡Qué impresionante!
我很好。你爸爸妈妈好吗？	Estoy muy bien. ¿Tus papás están bien?
他们都很好，你男朋友呢？	Ambos están muy bien. ¿Y tu novio?
他也很好。你忙吗？	Él también está muy bien. ¿Estás ocupado?
我不忙，你呢？	No estoy ocupado, ¿y tú?
我也不忙。你要喝什么？	Yo tampoco estoy ocupado. ¿Qué quieres tomar?
我要咖啡。那是谁？	Quiero café. ¿Quién es esa persona?
那是我朋友，她是外语老师，他会说汉语和西班牙语。	Esa es mi amiga; ella es profesora de idiomas extranjeros. Él sabe hablar chino y español.
她是哪国人？	¿De qué país es ella?
她是中国人。	Ella es china.
你好，你是陈老师吗？我是林娜。	Hola, ¿usted es el docente Chen? Soy Lin Na.
我们都是中国人。	Todos somos chinos.
我喝咖啡，你要什么？	Yo tomo café, ¿qué quieres tú?
我爸爸、妈妈都不忙。	Ni mi papá ni mi mamá están ocupados.
她哥哥是我们外语老师。	Su hermano mayor es nuestro profesor de idiomas extranjeros.
你奶奶也是医生吗？	¿Tu abuela paterna también es médica?
我很忙，我不喝咖啡，谢谢。	Estoy muy ocupado. No tomo café, gracias.
那是你外婆吗？	¿Esa es tu abuela materna?
谁是你们老师？	¿Quién es su profesor?
我哥哥也要喝水。	Mi hermano mayor también quiere tomar agua.
你喜欢什么？	¿Qué te gusta?
我喜欢……	Me gusta…
我不喜欢……	No me gusta…
你喜欢……吗？	¿Te gusta…?
我爱你。	Te amo.
我喜欢你。	Me gustas.
你喜欢做什么？	¿Qué te gusta hacer?
她们都是美国人。	Todas ellas son estadounidenses.
他们都学习汉语。	Todos ellos estudian chino.
好吃	Rico; delicioso.
我不要咖啡。	No quiero café.
看这儿。	Mira aquí.
看那儿！你老师在那儿！	¡Mira allí! ¡Tu profesor está allí!
王小云的爸爸是北京人。	El papá de Wang Xiaoyun es de Pekín.
王小云的妈妈是上海人，她喜欢吃米饭和点心。	La mamá de Wang Xiaoyun es de Shanghái; le gusta comer arroz y bocadillos.
包子大，饺子小。	Los baozi son grandes y los jiaozi son pequeños.
马大为要包子和饺子。	Ma Dawei quiere baozi y jiaozi.
我会用筷子。	Sé usar palillos para comer.
你要喝什么？	¿Qué quieres tomar?
喝咖啡	Tomar café.
喝茶	Tomar té.
喝水	Tomar agua.
喝牛奶	Tomar leche.
您要吃什么？	¿Qué desea comer?
这是马大为。	Este es Ma Dawei.
那不是饺子。	Eso no es jiaozi.
她也是老师。	Ella también es profesora.
我们都是秘鲁人。	Todos somos peruanos.
这是面条。	Esto son fideos.
这不是面条。	Esto no son fideos.
这是面条吗？	¿Esto son fideos?
他是北京人。	Él es de Pekín.
他不是北京人。	Él no es de Pekín.
他是北京人吗？	¿Él es de Pekín?
那是包子。	Eso es baozi.
那不是包子。	Eso no es baozi.
那是包子吗？	¿Eso es baozi?
我是上海人。	Soy de Shanghái.
我不是上海人。	No soy de Shanghái.
你是上海人吗？	¿Eres de Shanghái?
这是饺子。	Esto es jiaozi.
你吃什么？	¿Qué comes?
