hanzi	traduccion_ming
我有一个好朋友。	Tengo un buen amigo.
我没有哥哥，也没有姐姐。	No tengo hermano mayor ni hermana mayor.
我有一个姐姐，还有一个妹妹。	Tengo una hermana mayor y también una hermana menor.
她有一个中国朋友，还有一个秘鲁朋友。	Ella tiene un amigo chino y también un amigo peruano.
我认识张老师，还认识王老师。	Conozco al profesor Zhang y también al profesor Wang.
我学习汉语，还学习英语。	Estudio chino y también inglés.
你有小猫吗？	¿Tienes un gatito?
我有两只小猫，他们很可爱。	Tengo dos gatitos; son muy tiernos.
一只猫	Un gato.
三只狗	Tres perros.
这是我哥哥，他叫José。	Este es mi hermano mayor; se llama José.
你好，José，你做什么工作？	Hola, José, ¿en qué trabajas?
我是医生，你呢？	Soy médico, ¿y tú?
我是大学老师。	Soy profesor universitario.
他在吃饭。	Él está comiendo.
我们在上课。	Estamos en clase.
弟弟在喝水。	Mi hermano menor está tomando agua.
我现在没有工作。	Ahora no tengo trabajo.
我也没有工作。	Yo tampoco tengo trabajo.
我是医生。	Soy médico.
我家一共有五口人。	En mi familia somos cinco en total.
王小云家有几口人？	¿Cuántas personas hay en la familia de Wang Xiaoyun?
王小云有弟弟吗？	¿Wang Xiaoyun tiene un hermano menor?
王小云的爸爸妈妈做什么工作？	¿En qué trabajan el papá y la mamá de Wang Xiaoyun?
林娜家有几口人？他们是谁？	¿Cuántas personas hay en la familia de Lin Na? ¿Quiénes son?
贝贝是谁？	¿Quién es Beibei?
我有一个哥哥。	Tengo un hermano mayor.
她没有妹妹。	Ella no tiene hermana menor.
你们家有小狗吗？	¿Tienen un perrito en casa?
我的工作	Mi trabajo.
我们家的照片	Una foto de nuestra familia.
他的朋友	Su amigo; el amigo de él.
我妈妈	Mi mamá.
你女儿	Tu hija.
他们家	Su casa; la familia de ellos.
我有一只可爱的小狗。	Tengo un perrito muy tierno.
我有一个很有意思的朋友。	Tengo un amigo muy interesante.
他有三个很好的朋友。	Él tiene tres muy buenos amigos.
一张我的照片	Una foto mía.
一张cuzco的照片	Una foto de Cusco.
一张汉语的名片	Una tarjeta de presentación en chino.
一个很小的学院	Un instituto muy pequeño.
一个很大的餐厅	Un restaurante muy grande.
这儿有一个很有名的大学。	Aquí hay una universidad muy famosa.
王老师是一个很好的老师。	El profesor Wang es un muy buen profesor.
我认识一个很帅的男生。	Conozco a un estudiante muy guapo.
你叫什么？	¿Cómo te llamas?
你是谁？	¿Quién eres?
那是谁？	¿Quién es esa persona?
老师在哪儿？	¿Dónde está el profesor?
你们去哪儿？	¿Adónde van ustedes?
你是哪国人？	¿De qué país eres?
你去哪一个餐厅？	¿A qué restaurante vas?
你要哪一张照片？	¿Qué foto quieres?
那儿有两个老师，哪一个是李老师？	Allí hay dos profesores. ¿Cuál es el profesor Li?
你要哪两张照片？	¿Qué dos fotos quieres?
大学有几个系？	¿Cuántos departamentos tiene la universidad?
你有几张照片？	¿Cuántas fotos tienes?
哪一个是张老师？	¿Cuál es el profesor Zhang?
那儿有十个人，哪3个是中国人？	Allí hay diez personas. ¿Cuáles tres son chinas?
我有两张名片，一张是西班牙语，一张是英语。	Tengo dos tarjetas de presentación: una está en español y la otra en inglés.
你要哪一张名片？	¿Qué tarjeta de presentación quieres?
你有几个朋友？	¿Cuántos amigos tienes?
我有一个朋友。	Tengo un amigo.
你认识几个老师？	¿A cuántos profesores conoces?
我认识两个老师。	Conozco a dos profesores.
你吃几个包子？	¿Cuántos baozi comes?
我吃三个包子。	Como tres baozi.
大家好，我叫张王冉，我是中国人，我是汉语老师，我在秘鲁工作，我很喜欢我的工作。	Hola a todos. Me llamo Zhang Wangran, soy de China y enseño chino. Trabajo en Perú y me gusta mucho mi trabajo.
这儿有一张我家的照片，我家一共有三口人，我们都是中国人。	Aquí hay una foto de mi familia. En mi familia somos tres en total y todos somos chinos.
我妈妈是医生，我姐姐是老师。	Mi mamá es médica y mi hermana mayor es profesora.
我妈妈喜欢看书，我姐姐喜欢看电影，我喜欢唱歌。	A mi mamá le gusta leer, a mi hermana mayor le gusta ver películas y a mí me gusta cantar.
我很爱我的家人。	Quiero mucho a mi familia.
你几岁？	¿Cuántos años tienes?
你今年几岁？	¿Cuántos años tienes este año?
我今年十岁。	Este año tengo diez años.
我18岁	Tengo dieciocho años.
今年是2026年。	Este año es 2026.
今年是马年。	Este año es el año del Caballo.
你今年多大？	¿Qué edad tienes este año?
我今年三十岁。	Este año tengo treinta años.
我今年二十五岁。	Este año tengo veinticinco años.
你今年多大岁数？	¿Qué edad tienes este año?
我今年七十五岁。	Este año tengo setenta y cinco años.
真好	¡Qué bien!
真好吃！	¡Qué rico!
真漂亮！	¡Qué bonito!
你女儿真漂亮！	¡Tu hija es realmente bonita!
喝一杯茶	Tomar una taza de té.
一杯咖啡	Una taza de café.
我要一杯咖啡。	Quiero una taza de café.
一张地图	Un mapa.
小孩子很可爱。	Los niños pequeños son muy tiernos.
我不认识这个孩子。	No conozco a este niño.
他有两个孩子，一个女儿，一个儿子。	Él tiene dos hijos: una hija y un hijo.
英语课	Clase de inglés.
汉语课	Clase de chino.
钢琴课	Clase de piano.
我会说中文。	Sé hablar chino.
你会弹钢琴吗？	¿Sabes tocar el piano?
我不会，你呢？	Yo no sé hacerlo, ¿y tú?
我会。	Yo sí sé hacerlo.
我喜欢上汉语课！	¡Me gusta asistir a clase de chino!
我爱上汉语课！	¡Me encanta asistir a clase de chino!
她真漂亮。	Ella es realmente bonita.
今天我有汉语课。	Hoy tengo clase de chino.
你要喝茶吗？	¿Quieres tomar té?
我女儿今年五岁。	Mi hija tiene cinco años este año.
这个孩子很好。	Este niño es muy bueno.
今天晚上我学习英语。	Esta noche estudio inglés.
孩子们学钢琴。	Los niños aprenden a tocar el piano.
今天我没有课。	Hoy no tengo clase.
那是我哥哥。	Ese es mi hermano mayor.
王小云喜欢吃点心。	A Wang Xiaoyun le gusta comer bocadillos.
谁喜欢吃点心？	¿A quién le gusta comer bocadillos?
这是林娜的照片。	Esta es una foto de Lin Na.
这是谁的照片？	¿De quién es esta foto?
我们家有六口人。	En nuestra familia somos seis.
她今年五岁。	Ella tiene cinco años este año.
她今年几岁？	¿Cuántos años tiene ella este año?
她是我妹妹。	Ella es mi hermana menor.
我们家一共有六口人。	En nuestra familia somos seis en total.
马大为喜欢喝茶。	A Ma Dawei le gusta tomar té.
这是我的小狗。	Este es mi perrito.
林娜有两个姐姐。	Lin Na tiene dos hermanas mayores.
他有三张照片。	Él tiene tres fotos.
大家好！我姓马，叫马大为，是美国人。	¡Hola a todos! Mi apellido es Ma, me llamo Ma Dawei y soy estadounidense.
我们家一共有五口人，爸爸、妈妈、哥哥和我，还有约翰（John）。	En nuestra familia somos cinco en total: papá, mamá, mi hermano mayor y yo, y también John.
约翰是我的狗，今年两岁。	John es mi perro; este año tiene dos años.
我爸爸是律师，我妈妈是工程师，我哥哥是经理。	Mi papá es abogado, mi mamá es ingeniera y mi hermano mayor es gerente.
我的老师是陈老师，我们都很喜欢她。	Mi profesora es la profesora Chen; a todos nos cae muy bien.
我有三个中国朋友，王小云、宋华和陆雨平。	Tengo tres amigos chinos: Wang Xiaoyun, Song Hua y Lu Yuping.
马大为是哪国人？	¿De qué país es Ma Dawei?
马大为有姐姐吗？	¿Ma Dawei tiene una hermana mayor?
约翰（John）今年几岁？	¿Cuántos años tiene John este año?
马大为的爸爸做什么工作？他妈妈呢？	¿En qué trabaja el papá de Ma Dawei? ¿Y su mamá?
陈老师是谁？	¿Quién es el docente Chen?
马大为有几个中国朋友？	¿Cuántos amigos chinos tiene Ma Dawei?
他叫宋华，他是中国人。	Él se llama Song Hua y es chino.
他们家有三口人，爸爸、妈妈和他。	En su familia son tres: su papá, su mamá y él.
他爸爸是医生，妈妈是老师。	Su papá es médico y su mamá es profesora.
他是学生。	Él es estudiante.
他喜欢吃饺子。	A él le gusta comer jiaozi.
他很忙。	Él está muy ocupado.
他忙吗？	¿Él está ocupado?
他叫马大为，他叫丁力波，她叫林娜。	Él se llama Ma Dawei, él se llama Ding Libo y ella se llama Lin Na.
大为很好，丁力波很忙，林娜不太忙，她也很好。	Dawei está muy bien; Ding Libo está muy ocupado. Lin Na no está muy ocupada y también está muy bien.
马大为好吗？	¿Ma Dawei está bien?
林娜怎么样？	¿Cómo está Lin Na?
丁力波忙吗？	¿Ding Libo está ocupado?
他叫成龙，她叫巩俐。	Él se llama Cheng Long y ella se llama Gong Li.
成龙很忙。巩俐也很忙。	Cheng Long está muy ocupado. Gong Li también está muy ocupada.
