hanzi	pinyin_ming
我妈妈喜欢吃面条儿。	Wǒ māma xǐhuan chī miàntiáor.
我要咖啡，还要点心。	Wǒ yào kāfēi, hái yào diǎnxin.
我们家有五口人，爸爸、妈妈、两个姐姐和我。	Wǒmen jiā yǒu wǔ kǒu rén, bàba, māma, liǎng ge jiějie hé wǒ.
我爸爸是汉语老师，我妈妈是英语老师。	Wǒ bàba shì Hànyǔ lǎoshī, wǒ māma shì Yīngyǔ lǎoshī.
玛丽有一个哥哥，她没有弟弟。	Mǎlì yǒu yí ge gēge, tā méiyǒu dìdi.
陈老师的女儿今年五岁。	Chén lǎoshī de nǚ'ér jīnnián wǔ suì.
是，这是我们家的照片。	Shì, zhè shì wǒmen jiā de zhàopiàn.
这不是我哥哥，这是我弟弟。	Zhè bú shì wǒ gēge, zhè shì wǒ dìdi.
我们家有四口人，爸爸、妈妈、姐姐和我。	Wǒmen jiā yǒu sì kǒu rén, bàba, māma, jiějie hé wǒ.
我爸爸和我妈妈都是老师。	Wǒ bàba hé wǒ māma dōu shì lǎoshī.
她是学生，她学习英语。	Tā shì xuésheng, tā xuéxí Yīngyǔ.
有，明天我上午有英语课，下午和晚上还有钢琴课。	Yǒu, míngtiān wǒ shàngwǔ yǒu Yīngyǔ kè, xiàwǔ hé wǎnshang hái yǒu gāngqín kè.
有，她有一个女儿。	Yǒu, tā yǒu yí ge nǚ'ér.
她女儿今年九岁。	Tā nǚ'ér jīnnián jiǔ suì.
我叫张华，这是我们家的照片。	Wǒ jiào Zhāng Huá, zhè shì wǒmen jiā de zhàopiàn.
我们家有五口人，爸爸、妈妈、姐姐、弟弟和我。	Wǒmen jiā yǒu wǔ kǒu rén, bàba, māma, jiějie, dìdi hé wǒ.
我爸爸是律师，我妈妈是记者，他们都很忙。	Wǒ bàba shì lǜshī, wǒ māma shì jìzhě, tāmen dōu hěn máng.
我弟弟今年九岁，他很可爱。	Wǒ dìdi jīnnián jiǔ suì, tā hěn kě'ài.
你看，这是我女儿的照片，她今年八岁。	Nǐ kàn, zhè shì wǒ nǚ'ér de zhàopiàn, tā jīnnián bā suì.
她喜欢吃饺子，还喜欢吃面条儿，可是不喜欢吃米饭。	Tā xǐhuan chī jiǎozi, hái xǐhuan chī miàntiáor, kěshì bù xǐhuan chī mǐfàn.
今天她有英语课，不在家。	Jīntiān tā yǒu Yīngyǔ kè, bú zài jiā.
他们做什么工作？	Tāmen zuò shénme gōngzuò?
他们喜欢吃什么？	Tāmen xǐhuan chī shénme?
你们家有宠物吗？	Nǐmen jiā yǒu chǒngwù ma?
我叫马大为，我是美国人。你也是美国人吗？	Wǒ jiào Mǎ Dàwéi, wǒ shì Měiguó rén. Nǐ yě shì Měiguó rén ma?
我不是美国人，我是英国人。	Wǒ bú shì Měiguó rén, wǒ shì Yīngguó rén.
请问，你是中国人吗？	Qǐngwèn, nǐ shì Zhōngguó rén ma?
我不是中国人，我是加拿大人。	Wǒ bú shì Zhōngguó rén, wǒ shì Jiānádà rén.
他们呢？	Tāmen ne?
他们也不是中国人，他们都是韩国人。	Tāmen yě bú shì Zhōngguó rén, tāmen dōu shì Hánguó rén.
王小云家有四口人。	Wáng Xiǎoyún jiā yǒu sì kǒu rén.
她爸爸是医生，妈妈是老师。	Tā bàba shì yīshēng, māma shì lǎoshī.
她还有一个哥哥。	Tā hái yǒu yí ge gēge.
这是他们家的照片。	Zhè shì tāmen jiā de zhàopiàn.
林娜家一共有五口人，妈妈、一个哥哥、两个姐姐和她，还有贝贝。	Lín Nà jiā yígòng yǒu wǔ kǒu rén, māma, yí ge gēge, liǎng ge jiějie hé tā, hái yǒu Bèibei.
贝贝是她的小狗。	Bèibei shì tā de xiǎogǒu.
陆雨平家有三口人。	Lù Yǔpíng jiā yǒu sān kǒu rén.
他有一个女儿，今年五岁。	Tā yǒu yí ge nǚ'ér, jīnnián wǔ suì.
他女儿很忙，今天有钢琴课，还有英语课。	Tā nǚ'ér hěn máng, jīntiān yǒu gāngqín kè, hái yǒu Yīngyǔ kè.
贝贝是林娜家的人吗？	Bèibei shì Lín Nà jiā de rén ma?
陆雨平的女儿怎么样？	Lù Yǔpíng de nǚ'ér zěnmeyàng?
约翰今年几岁？	Yuēhàn jīnnián jǐ suì?
马大为有几个中国朋友？他们都是谁？	Mǎ Dàwéi yǒu jǐ ge Zhōngguó péngyou? Tāmen dōu shì shéi?
大为也很好。	Dàwéi yě hěn hǎo.
我不忙。	Wǒ bù máng.
他很好。	Tā hěn hǎo.
他也姓宋。	Tā yě xìng Sòng.
他也不姓宋。	Tā yě bú xìng Sòng.
力波也不忙。	Lìbō yě bù máng.
北京人喜欢吃面条儿和饺子。	Běijīng rén xǐhuan chī miàntiáor hé jiǎozi.
我爸爸和我妈妈也都很忙。	Wǒ bàba hé wǒ māma yě dōu hěn máng.
丁力波和马大为都很好。	Dīng Lìbō hé Mǎ Dàwéi dōu hěn hǎo.
我和林娜都不太忙。	Wǒ hé Lín Nà dōu bú tài máng.
你爸爸和你妈妈都是北京人吗？	Nǐ bàba hé nǐ māma dōu shì Běijīng rén ma?
王小云和宋华也都不喜欢吃面条儿。	Wáng Xiǎoyún hé Sòng Huá yě dōu bù xǐhuan chī miàntiáor.
这是谁的咖啡？	Zhè shì shéi de kāfēi?
这是我的咖啡。	Zhè shì wǒ de kāfēi.
你有贝贝的照片吗？	Nǐ yǒu Bèibei de zhàopiàn ma?
我没有贝贝的照片。	Wǒ méiyǒu Bèibei de zhàopiàn.
谁是医生？	Shéi shì yīshēng?
我妈妈是医生。	Wǒ māma shì yīshēng.
他们有一个孩子。	Tāmen yǒu yí ge háizi.
我有六张照片。	Wǒ yǒu liù zhāng zhàopiàn.
这张照片怎么样？	Zhè zhāng zhàopiàn zěnmeyàng?
这张照片很漂亮。	Zhè zhāng zhàopiàn hěn piàoliang.
你有哥哥吗？	Nǐ yǒu gēge ma?
我有一个哥哥，还有两个弟弟。	Wǒ yǒu yí ge gēge, hái yǒu liǎng ge dìdi.
你认识谁？	Nǐ rènshi shéi?
我认识马大为，还认识林娜。	Wǒ rènshi Mǎ Dàwéi, hái rènshi Lín Nà.
今天你有课吗？	Jīntiān nǐ yǒu kè ma?
今天我有汉语课，还有英语课。	Jīntiān wǒ yǒu Hànyǔ kè, hái yǒu Yīngyǔ kè.
他们叫什么名字？	Tāmen jiào shénme míngzi?
他们怎么样？	Tāmen zěnmeyàng?
您早！	Nín zǎo!
我姓丁，叫丁力波。	Wǒ xìng Dīng, jiào Dīng Lìbō.
这是我同学，你们认识吗？	Zhè shì wǒ tóngxué, nǐmen rènshi ma?
你好！我叫林娜。请问，你是哪国人？	Nǐ hǎo! Wǒ jiào Lín Nà. Qǐngwèn, nǐ shì nǎ guó rén?
宋华是哪国人？	Sòng Huá shì nǎ guó rén?
宋华喜欢吃什么？	Sòng Huá xǐhuan chī shénme?
林娜喜欢吃饺子吗？	Lín Nà xǐhuan chī jiǎozi ma?
陈老师是北京人吗？	Chén lǎoshī shì Běijīng rén ma?
陈老师喜欢吃什么？	Chén lǎoshī xǐhuan chī shénme?
